url,title,detail_score,final_label,body_text
https://vwo.com/success-stories/springest/,Slight Improvements Helped Springest Increase Form Submissions Using A/B Testing,5,Layout/Design Change,"Small changes can have a big impact on a company’s bottom line. Length, structure, position, or design of forms can have tremendous influence on conversions.
This success story is about anA/B testrun by Springest, which is an independent comparison website for training programmes and courses. L&D providers place their learning products here, allowing you to view, compare, and find your ideal course or mode of education.
Eduhub used to be their brand name in The Netherlands.
Their business model involves providing brochures to the visitors who request for them (when they find a suitable course provider). Brochure is free, but the visitors need to fill a lot of information in the form to access it.
They usedVWOto create another version of the form and to test it against the current version."
https://vwo.com/success-stories/visitnorway/,How VWO Helped VisitNorway.com Improve Click-Through Rates on Its Website,4,Social Proof,"VisitNorway.org,one of our customers, published their experiences using VWO tools forA/B testingand the outcomes in theiroriginal blog post, which was in Norwegian. This success story draws upon that blog.
VisitNorway uses VWO tools to runA/B teststo quickly and effectively measure the expected impact of changes to text, images, design, and functionality on its website."
https://vwo.com/success-stories/laura-roeder/,Improving and Testing Helped LKRSM Increase Its Sign-ups Using A/B Testing,3,Authority,"For a long time now,A/B testingexperts and consultants the world over have been advising their clients to go for quick wins on a landing page. When we talk of quick wins, nothing is quicker than changing the headline copy.
Unfortunately, in larger organizations, it’s also the one that causes a lot of heartburn because marketing and branding executives are uncomfortable positioning their offerings in the completely new ways suggested by optimization experts. Today’s success story shows why it makes sense to be continually testing and getting quick wins.
Laura Roeder Social Media (now MeetEdgar) provides social media marketing training for small businesses based out of Los Angeles. Their online shops include Zero to Facebook, Your Backstage Pass to Twitter, and Creating Fame."
https://vwo.com/success-stories/buildium/,Buildium A/B Tested Testimonial Messaging To Increase Its Conversions,3,Layout/Design Change,"Buildium is a property management software that is used to manage more than 600,000 residential units in 31 countries worldwide.
Buildium’s competitors have pigeonholed us by claiming we are only appropriate for small property managers (50 units or less)*. To combat this perception, we decided to change a few elements on our website throughA/B testingdifferent variations of our messaging."
https://vwo.com/success-stories/ezlandlord/,How EzLandlord Forms Increased Its Paid Conversions Using VWO,3,Layout/Design Change,"Kevin Kiene, the founder, was a landlord back in 2005. Tired of the hassles he faced in creating the right lease, he launched the EzLandlordForms website. Since 2006, he and his team have helped more than half a million landlords manage their properties with great ease.
EzLandlordForms provides forms for a range of leases – residential, vacation, company, subleases etc. They have hundreds of free lease forms in printable format.
Brian, Vice President at EzLandlordForms, signed up for aVWOsubscription to explore ways in which they could get more revenue from their online business. He set up and ran a number of tests on different elements of the website’s homepage."
https://vwo.com/success-stories/showpo/,Showpo Creates A Delightful Customer Experience With VWO To Maximize Conversions,3,Social Proof,"Showpois an online fashion retailer with young women as its primary target customers. It is a pure-play women’s fashion company with a vision “to be her go to place to shop”. Showpo’s annual revenue for the last year was over $30 million, and a little more than a third of its sales occurred internationally.
Because of its excellent optimization efforts and structured CRO process,Showpo has been winning the Online Retailer Industry ORIAS award for Best Site Optimization and Design for 2 years now.We got in touch with Mark Baartse, CMO of Showpo, and Felicity Ieraci, Showpo’s UX Designer to learn about the multiple tests thatVWO Serviceshelped them and their team conduct on the company’s website and product pages."
https://vwo.com/success-stories/imb-bank/,How IMB Bank discovered hidden engagement opportunities and amplified conversions using VWO,3,Layout/Design Change,"Established in 1880,IMB Bankhas been helping people achieve their financial goals for 139 years. IMB Bank offers a full range of banking solutions, including home and personal loans, car loans, savings and transaction accounts, term deposits, business banking, and lots more.Adam Ruse is the Web UI/UX Designer at IMB Bank. His role primarily includes designing the user interface and user experience of the website, as well as improving website performance through data analysis, user analysis, and experimentation.
Back in 2017, Adam and his team started usingVWOand ran a few experiments on the website to optimize its design and flow. These ideas were purely hunch-based and lacked the data needed to drive theconversion optimizationprocess.
Owing to this, they started looking for anA/B testing platformand came across VWO.
“Everything about ourwebsite experimentationwas ad-hoc. We started using VWO to bring a structured optimization process at IMB Bank. Our core objective was to build a data-driven experimentation culture and derive key learnings and insights that we could use to form the basis of our hypothesis and experimentations. What I particularly like about VWO is thatit’s easy to set up and get started in no time.” Adam Ruse, UI/UX Designer, IMB Bank."
https://vwo.com/success-stories/consolidated-label/,Consolidated Label Improved User Experience To Increase Conversions,3,Layout/Design Change,"VWOhas published quite a few success stories in the past, regarding the positive influence of call to action buttons. The testing could be in the form of adding acall to action buttonwhen original design didn’t have one,testing a different oneor even in the form ofdifferent textfor each call to action buttons.
Consolidated Label manufactures custom printed labels for retail products in a variety of markets, including Food, Beverage, Health & Beauty, and Health markets. They have segmented their services in 4 broad categories—Printing, Art, Quality, and Systems. They used VWO toA/B testa new design with a prominent call to action button."
https://vwo.com/success-stories/paypanther/,PayPanther used VWO To Increase Their Sign-Up Rates,3,Layout/Design Change,"PayPanther, or PracticePanther, as it is now known, is an all-in-one solution for free Online Invoicing, CRM, Time Tracking, & Project Management software for freelancers & businesses. The company was looking to A/B test changes to their website in order to increase conversions and selected theVWO platform.
Please note: The company has changed its name and website design since the time of publishing this case study."
https://vwo.com/success-stories/adt/,ADT Corrected Its CTA Copy To Boost Its Conversions Using VWO,3,Clarity/Simplicity,"ADT, a Tyco International company, provides safety solutions for residential and commercial properties. Its portfolio includes burglar alarms, video surveillance, access control, electronic article surveillance, radio frequency identification, fire detection, integrated solutions, and 24/7 monitoring.
To test its new website, ADT UK hiredBloom, an integrated digital marketing agency. Bloom needed to determine which CTA was more effective in conversions; and to test these CTAs, they used theVWO platform."
